"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US31059","Fillmore County, Nebraska","5557","*****","5303","54","16","21","20","14","27","19","0","15","17","17","174","56","87","49","87","25",
"0500000US31061","Franklin County, Nebraska","2901","*****","2761","23","7","8","21","15","5","6","7","8","29","27","71","32","37","24","34","17",
"0500000US31063","Frontier County, Nebraska","2491","71","2329","75","32","25","6","19","0","10","0","10","41","21","83","35","15","18","68","27",
"0500000US31065","Furnas County, Nebraska","4630","*****","4435","43","15","18","31","23","7","6","0","10","27","23","115","39","44","34","71","19",
"0500000US31067","Gage County, Nebraska","21654","*****","20695","130","150","38","97","45","125","61","0","19","146","114","441","107","95","63","346","95",
"0500000US31069","Garden County, Nebraska","1778","117","1668","137","0","10","4","6","3","4","0","10","84","76","19","11","0","10","19","11",
"0500000US31071","Garfield County, Nebraska","1833","101","1773","96","9","15","0","10","0","10","0","10","39","37","12","15","0","10","12","15",
"0500000US31073","Gosper County, Nebraska","1873","175","1819","173","5","8","9","14","0","10","4","6","2","3","34","22","11","12","23","17",
"0500000US31075","Grant County, Nebraska","649","76","625","80","1","2","4","5","5","8","0","10","4","6","10","11","2","4","8","11",
"0500000US31077","Greeley County, Nebraska","2212","*****","2106","9","14","15","11","10","0","10","0","10","46","27","35","19","8","9","27","19",
"0500000US31079","Hall County, Nebraska","62575","*****","45387","929","2147","330","540","314","718","162","205","230","8917","1138","4661","1030","3860","953","801","216",
"0500000US31081","Hamilton County, Nebraska","9400","*****","8858","66","19","23","37","32","35","38","2","3","54","38","395","100","256","87","139","51",
"0500000US31083","Harlan County, Nebraska","3094","175","2904","157","3","8","4","5","37","20","0","10","38","38","108","64","65","60","43","20",
"0500000US31085","Hayes County, Nebraska","919","71","867","74","0","10","2","6","0","10","0","10","26","16","24","19","24","19","0","10",
"0500000US31087","Hitchcock County, Nebraska","2620","*****","2502","30","2","3","3","4","3","4","0","10","15","14","95","25","35","23","60","7",
"0500000US31089","Holt County, Nebraska","10149","*****","9639","112","43","35","30","23","24","34","0","16","162","88","251","96","135","83","116","41",
"0500000US31091","Hooker County, Nebraska","659","87","588","84","10","17","5","13","0","10","0","10","11","15","45","43","45","43","0","10",
"0500000US31093","Howard County, Nebraska","6476","*****","6057","198","29","25","0","15","28","26","0","15","68","42","294","182","209","179","85","37",
"0500000US31095","Jefferson County, Nebraska","7185","*****","6783","111","55","57","2","4","5","9","0","15","49","46","291","124","183","104","108","56",
"0500000US31097","Johnson County, Nebraska","5294","*****","4353","87","291","66","79","61","40","44","0","15","271","151","260","121","147","111","113","74",
"0500000US31099","Kearney County, Nebraska","6655","*****","6299","193","6","6","21","27","50","44","0","15","25","31","254","178","215","173","39","33",
"0500000US31101","Keith County, Nebraska","8303","*****","7568","104","119","78","17","23","39","22","4","7","209","135","347","136","235","105","112","78",
"0500000US31103","Keya Paha County, Nebraska","987","129","947","129","1","2","0","10","0","10","0","10","19","22","20","24","17","23","3","4",
"0500000US31105","Kimball County, Nebraska","3395","187","3059","209","7","21","48","46","1","3","0","10","5","8","275","95","122","72","153","56",
"0500000US31107","Knox County, Nebraska","8415","*****","7197","52","59","18","772","69","41","12","1","2","41","31","304","65","62","50","242","59",
"0500000US31109","Lancaster County, Nebraska","322063","*****","268359","1083","12021","721","2085","359","13278","670","209","106","6053","718","20058","1235","6584","758","13474","1030",
"0500000US31111","Lincoln County, Nebraska","34532","*****","30789","289","420","94","389","225","282","52","20","28","977","315","1655","327","1096","280","559","161",
"0500000US31113","Logan County, Nebraska","839","98","741","92","0","10","18","13","0","10","0","10","12","14","68","38","7","9","61","36",
"0500000US31115","Loup County, Nebraska","629","79","539","73","0","10","0","10","0","10","0","10","0","10","90","38","63","32","27","20",
"0500000US31117","McPherson County, Nebraska","456","78","449","78","0","10","0","10","0","10","0","10","3","4","4","4","2","3","2","3",
"0500000US31119","Madison County, Nebraska","35538","*****","29618","383","304","94","549","212","415","158","0","22","1893","421","2759","428","1491","368","1268","245",
"0500000US31121","Merrick County, Nebraska","7675","*****","7128","78","5","9","26","26","127","32","0","15","131","86","258","81","121","56","137","43",
"0500000US31123","Morrill County, Nebraska","4562","*****","3922","107","4","4","58","57","51","28","0","10","66","42","461","132","334","134","127","54",
"0500000US31125","Nance County, Nebraska","3366","*****","3203","33","19","13","16","15","5","7","0","10","7","10","116","34","54","26","62","26",
"0500000US31127","Nemaha County, Nebraska","7019","*****","6427","197","113","42","34","40","26","22","0","15","70","35","349","189","248","185","101","41",
"0500000US31129","Nuckolls County, Nebraska","4092","*****","3824","30","8","17","11","11","0","10","12","22","19","21","218","56","33","25","185","59",
"0500000US31131","Otoe County, Nebraska","15995","*****","14161","207","112","46","41","46","23","24","0","16","674","334","984","360","575","336","409","68",
"0500000US31133","Pawnee County, Nebraska","2553","*****","2430","21","6","7","0","10","0","10","0","10","9","12","108","23","13","15","95","18",
"0500000US31135","Perkins County, Nebraska","2860","*****","2693","50","2","4","2","4","11","15","0","10","43","32","109","46","72","43","37","15",
"0500000US31137","Phelps County, Nebraska","8966","*****","8351","95","56","46","31","24","7","11","16","20","68","40","437","114","329","89","108","51",
"0500000US31139","Pierce County, Nebraska","7301","*****","7022","61","20","19","17","23","12","11","0","15","15","24","215","74","94","79","121","43",
"0500000US31141","Platte County, Nebraska","34219","*****","28746","584","227","66","40","32","152","128","11","18","1533","539","3510","607","2909","600","601","152",
"0500000US31143","Polk County, Nebraska","5182","*****","4792","70","8","13","8","9","0","15","0","15","176","66","198","58","90","59","108","30",
"0500000US31145","Red Willow County, Nebraska","10690","*****","9717","131","114","61","74","59","0","16","0","16","390","119","395","170","131","125","264","121",
"0500000US31147","Richardson County, Nebraska","7850","*****","7226","31","84","42","184","98","4","5","0","15","10","9","342","96","26","24","316","94",
"0500000US31149","Rock County, Nebraska","1312","116","1288","110","8","13","7","10","0","10","0","10","0","10","9","10","9","10","0","10",
"0500000US31151","Saline County, Nebraska","14275","*****","11599","569","136","70","38","29","419","69","17","29","1159","500","907","317","460","258","447","254",
"0500000US31153","Sarpy County, Nebraska","191272","*****","159141","1225","7973","516","872","250","4835","392","233","39","5822","914","12396","1135","5568","790","6828","715",
"0500000US31155","Saunders County, Nebraska","22374","*****","21258","175","74","37","29","22","127","63","6","9","113","83","767","201","364","182","403","97",
"0500000US31157","Scotts Bluff County, Nebraska","36048","*****","29563","500","204","96","662","201","202","49","66","92","1712","433","3639","581","2758","516","881","217",
"0500000US31159","Seward County, Nebraska","17644","*****","16896","70","117","38","30","19","60","40","16","23","63","45","462","108","157","87","305","62",
"0500000US31161","Sheridan County, Nebraska","5102","*****","4101","41","69","36","466","73","63","3","0","15","82","59","321","88","159","66","162","61",
"0500000US31163","Sherman County, Nebraska","2970","*****","2838","35","15","11","2","3","9","11","1","2","21","19","84","31","40","29","44","15",
"0500000US31165","Sioux County, Nebraska","1162","161","1086","162","4","7","0","10","1","3","0","10","49","50","22","16","9","12","13","13",
"0500000US31167","Stanton County, Nebraska","5828","*****","5360","131","32","41","6","9","27","23","0","15","243","138","160","74","60","51","100","41",
"0500000US31169","Thayer County, Nebraska","5006","*****","4744","36","11","18","17","12","1","2","0","15","12","10","221","36","124","34","97","16",
"0500000US31171","Thomas County, Nebraska","592","61","518","48","8","12","6","7","0","10","0","10","0","10","60","41","21","26","39","34",
"0500000US31173","Thurston County, Nebraska","6716","*****","2442","60","12","13","3793","84","61","18","0","15","79","60","329","86","126","54","203","62",
"0500000US31175","Valley County, Nebraska","4053","79","3976","78","7","12","29","24","11","14","0","10","10","13","20","17","0","10","20","17",
"0500000US31177","Washington County, Nebraska","20884","*****","19916","111","90","93","54","44","65","40","39","57","158","78","562","140","193","112","369","89",
"0500000US31179","Wayne County, Nebraska","9701","*****","8937","180","142","60","30","25","36","21","0","15","177","168","379","131","189","112","190","77",
"0500000US31181","Webster County, Nebraska","3410","*****","3207","42","5","9","25","21","4","6","11","10","10","12","148","46","67","37","81","24",
"0500000US31183","Wheeler County, Nebraska","771","101","761","103","0","10","0","10","1","2","0","10","1","3","8","10","8","10","0","10",
